,DestRaw,Dest
148,WESTERLIN,WESTERLIN
149,LUVELLEW,LUVELLEW
150,HILLYLLE,HILLYLLE
151,PUEBLO CO,"PUEBLO, CO"
152,MIDDLETON CT,"MIDDLETON, CT"
153,NEW-HAVEN-CT,"NEW HAVEN, CT"
154,LASALLE-IL,"LASALLE, IL"
155,WALSTON PA,"WALSTON, PA"
156,S FRANCISCO CA,"SAN FRANCISCO, CA"
157,S.FRANCISCO CA,"SAN FRANCISCO, CA"
158,AVON,AVON
159,HAMMONTOWN,HAMMONTOWN
160,BALTIMORA,BALTIMORA
161,CINCINNATI,"CINCINNATI, OH"
162,MEMPHIS,"MEMPHIS, TN"
163,ADAM-PA,"ADAM, PA"
164,PORTAGE PA.,"PORTAGE, PA"
165,FRANCISCO,FRANCISCO
166,DUNDEE MI,"DUNDEE, MI"
167,TAMBA-FL,"TAMPA, FL"
168,ALTARILLA,ALTARILLA
169,NALSTON-PA,"NALSTON, PA"
170,ELIZABETH NJ,"ELIZABETH, NJ"
171,HAMMONTON,HAMMONTON
172,TELLURIDE,TELLURIDE
173,CLEVELAND,"CLEVELAND, OH"
174,LAMFORT,LAMFORT
175,SOLDIER-JEFFERSON,SOLDIER-JEFFERSON
176,WASHINGTON,WASHINGTON
177,HOBOKEN-NJ,"HOBOKEN, NJ"
178,TRENTON-PA,"TRENTON, PA"
179,MARYLAND,MARYLAND
180,TRENTON,TRENTON
181,FORT WORTH,"FORT WORTH, TX"
182,MONTREAL CAN,"MONTREAL, CANADA"
183,SYRACUSA,SYRACUSA
184,WY,WY
185,MI,MI
186,YOUNGSTOWN OH,"YOUNGSTOWN, OH"
187,PLYMOUTH MA,"PLYMOUTH, MA"
188,RANKIN PA,"RANKIN, PA"
189,NEW CASTLE PA,"NEW CASTLE, PA"
190,BROOCKLYN NY,"BROOKLYN, NY"
191,WILLIAMPORT PA,"WILLIAMPORT, PA"
192,PITTSBURGH-PA,"PITTSBURGH, PA"
193,HOBOKEN,"HOBOKEN, NJ"
194,GALLIPOLIS PA,"GALLIPOLIS, PA"
195,DELANO CA,"DELANO, CA"
196,TAMPA FL,"TAMPA, FL"
197,NICOSIA,NICOSIA
198,ILLINOIS,ILLINOIS
199,HILLSVILLE,HILLSVILLE
200,PLAQUEMINES,PLAQUEMINES
201,MONTANA,MONTANA
202,DELANGEY-PA,"DELANGEY, PA"
203,NOUSTANA,NOUSTANA
204,ELMIRA,"ELMIRA, NY"
205,IOHUNSTOWN,IOHUNSTOWN
206,ELMIRA-NY,"ELMIRA, NY"
207,DUMBAR,DUMBAR
208,NEW-LONDON,NEW LONDON
209,WESTERLY-RI,"WESTERLY, RI"
210,SAN JOSE - CA,"SAN JOSE, CA"
211,LOS ANGELES,"LOS ANGELES, CA"
212,S LOUIS MO,"ST. LOUIS, MO"
213,S.LOUIS MO,"ST. LOUIS, MO"
214,S LOUIS,"ST. LOUIS, MO"
215,ST LOUIS MO,"ST. LOUIS, MO"
216,NAUSTAN-DIED,NAUSTAN-DIED
217,PATERSON,PATERSON
218,NORRISTON PA,"NORRISTON, PA"
219,NORRISTOPWN-PA,"NORRISTON, PA"
220,NAUSTAN,NAUSTAN
221,WILMINGTON,WILMINGTON
222,GALVESTON,GALVESTON
223,NJ,NJ
224,BRIDGEPORT,"BRIDGEPORT, CT"
225,BRIDGEPORT CT,"BRIDGEPORT, CT"
226,MILWAUKEE,"MILWAUKEE, WI"
227,MILFORD MA,"MILFORD, MA"
228,NICORRI--,NICORRI--
229,CHARLEROI,CHARLEROI
230,HOUSTON,"HOUSTON, TX"
231,NEW YOK,NEW YORK
232,JOHNGSTON,JOHNGSTON
233,ATLANTA GA,"ATLANTA, GA"
234,0,0
235,MILFORD MAS,"MILFORD, MA"
236,GREENSBURG-PA,"GREENSBURG, PA"
237,WALSTON,WALSTON
238,PITTSBURG-PA,"PITTSBURG, PA"
239,MIAMISBURG-OH,"MIAMISBURG, OH"
240,JOHNSTON,JOHNSTON
241,YOUNGSTOWN,"YOUNGSTOWN, OH"
242,HILLSVILLE PA,"HILLSVILLE, PA"
243,LANDVILLE OHIO,"LANDVILLE, OH"
244,MASSACHUSETTS,MASSACHUSETTS
245,PATERSON PA,"PATERSON, PA"
246,WHITE PLAINS NY,"WHITE PLAINS, NY"
247,WALSTON PA.,"WALSTON, PA"
248,SAN JOSE CA,"SAN JOSE, CA"
249,WASINGTON DC,"WASINGTON, DC"
250,EMILTON-PA,"EMILTON, PA"
251,HARTFORD,"HARTFORD, CT"
252,ELIZABETH-NJ,"ELIZABETH, NJ"
253,DELANGER PA,"DELANGER, PA"
254,JOHNSTOWN PA,"JOHNSTOWN, PA"
255,JONGSTON,JONGSTON
256,SOLDIER-PA,"SOLDIER, PA"
257,DELAMER-PA,"DELAMER, PA"
258,SELSVILLE PA,"SELSVILLE, PA"
259,OSWEGO NY,"OSWEGO, NY"
260,CARLERON MAS,"CARLERON, MA"
261,FRISCO-CA,"FRISCO, CA"
262,PITTSBURGH PA.,"PITTSBURGH, PA"
263,TRINIDAD,TRINIDAD
264,MIDLETOWN,MIDLETOWN
265,HOMOSTEAD PA,"HOMOSTEAD, PA"
266,S.FRANCISCO,"SAN FRANCISCO, CA"
267,ALTONA PA,"ALTONA, PA"
268,DUNKIRK,DUNKIRK
269,NEWPORT,NEWPORT
270,WESTERLY,WESTERLY
271,WESTERLY RI,"WESTERLY, RI"
272,DENVER CO,"DENVER, CO"
273,VINELAND,VINELAND
274,HABOKEN NJ,"HABOKEN, NJ"
275,GENEVA-NY,"GENEVA, NY"
276,BRAN,BRAN
277,BAYON,BAYON
278,NEW YORK CITY,"NEW YORK, NY"
279,NEW-OLEANS,"NEW ORLEANS, LA"
280,WEST-HOBOKEN,"WEST HOBOKEN, NJ"
281,SAINT LOUIS MN,SAINT LOUIS MN
282,TOLUCA IL,"TOLUCA, IL"
283,JERSEY,JERSEY
284,MILWAKEE WI,"MILWAKEE, WI"
285,SYRACUSE-NY,"SYRACUSE, NY"
286,ALBANY,"ALBANY, NY"
287,DE LANG PA,"DE LANG, PA"
288,BOSCHIRE,BOSCHIRE
289,HARTFORT,HARTFORT
290,OBOCK,OBOCK
291,BOSTON MAS,"BOSTON, MA"
292,NEWPORT VA,"NEWPORT, VA"
293,PROVIDENCE PA,"PROVIDENCE, PA"
294,NEGAUNEE MI,"NEGAUNEE, MI"
295,PINXTENN,PINXTENN
296,S JOSE COL,S JOSE COL
297,MIDDLETON,MIDDLETON
298,UTICA NY,"UTICA, NY"
299,PUEBLO COL,"PUEBLO, CO"
300,JERSEY-NY,"JERSEY, NY"
301,SYRACUSA NY,"SYRACUSE, NY"
302,GLASSGOW NY,"GLASSGOW, NY"
303,NESQUEHANING PA,"NESQUEHANING, PA"
304,FREDONIA,FREDONIA
305,NEW LONDON,NEW LONDON
306,DASTON OH,"DASTON, OH"
307,NEW HARVEN CT,"NEW HARVEN, CT"
308,UTICA,UTICA
309,JOHNSTOWN-PA,"JOHNSTOWN, PA"
310,"SUSPENSION BRIDGE,NY","SUSPENSION BRIDGE, NY"
311,MCKEESPORT,MCKEESPORT
312,ST JOSE-CA,"SAN JOSE, CA"
313,ST.JOSE-CA,"SAN JOSE, CA"
314,NY,NY
315,WAYNESBURG,WAYNESBURG
316,CALDWEL NY,"CALDWEL, NY"
317,GENOA,GENOA
318,COSSATO,COSSATO
319,HAZELTON PA,"HAZELTON, PA"
320,ONDEMICO,ONDEMICO
321,UTTICA,UTTICA
322,ALLEGHENY,ALLEGHENY
323,TAMPA-FL,"TAMPA, FL"
324,NEW HAVEN,"NEW HAVEN, CT"
325,MORRISTOWN,MORRISTOWN
326,BROOKLN N,BROOKLN N
327,RALSTON NE,"RALSTON, NE"
328,SAGUANO,SAGUANO
329,CLEVELAND OH,"CLEVELAND, OH"
330,"BUFFALO, NY","BUFFALO, NY"
331,NORFOLK VA.,"NORFOLK, VA"
332,HESTER-PA,"HESTER, PA"
333,GALVESTON TX,"GALVESTON, TX"
334,LUZERNE PA,"LUZERNE, PA"
335,SOLDIER PA,"SOLDIER, PA"
336,MOUNT MORRIS IL,"MOUNT MORRIS, IL"
337,BRYON-TX,"BRYON, TX"
338,WHITNE PA,WHITNE PA
339,CHARLESTOWN,CHARLESTOWN
340,CONNECTICUT,CONNECTICUT
341,ARON-N,ARON-N
342,CHARLESON PA,"CHARLESON, PA"
343,NEW-YORTK,NEW YORK
344,SUSPENSION NY,"SUSPENSION, NY"
345,HARDFORT CT,"HARDFORT, CT"
346,PATERSON NJ,"PATERSON, NJ"
347,MURPHYSBORO ILL.,"MURPHYSBORO, IL"
348,NORRISTON,NORRISTON
349,NESQUEHONING PA,"NESQUEHONING, PA"
350,TRINIDAD CA.,"TRINIDAD, CA"
351,PUEBLO COL.,"PUEBLO, CO"
352,YONIGSTOWN OH,"YONIGSTOWN, OH"
353,BROKLYN,"BROOKLYN, NY"
354,"VILLERSVILLE,IL","VILLERSVILLE, IL"
355,CALIFORNIA CA,CALIFORNIA
356,SHARON-PA,"SHARON, PA"
357,ST LOUIS,"ST LOUIS, MO"
358,ELISABETH,ELISABETH
359,MOUNT VERNON NY,"MOUNT VERNON, NY"
360,CANADA,CANADA
361,MA,MA
362,NIAGARA-FALLS,NIAGARA FALLS
363,CONDERSPORT PA,"CONDERSPORT, PA"
364,OSWEGO-NY,"OSWEGO, NY"
365,NEW YORK-DIED,NEW YORK
366,LAWRENCE MA,"LAWRENCE, MA"
367,SAINT LOUIS MI,"SAINT LOUIS, MI"
368,MARIAN IL,"MARIAN, IL"
369,PORTLAND ME,"PORTLAND, ME"
370,LOUISVILLE K,"LOUISVILLE, KY"
371,MOUNT-VERNON,MOUNT VERNON
372,MADISON,MADISON
373,HAMONTON,HAMONTON
374,NEW ORNEANS LA,"NEW ORLEANS, LA"
375,NORRISTOWN-PA,"NORRISTOWN, PA"
376,CO,CO
377,WILLIAMSBURG-PA,"WILLIAMSBURG, PA"
378,NEW-ORLEANS-PA,"NEW ORLEANS, PA"
379,LYNN-MA,"LYNN, MA"
380,PORT ALLEGANY PA.,"PORT ALLEGANY, PA"
381,NIAGARA FALLS,NIAGARA FALLS
382,TROIA NY,"TROIA, NY"
383,KANSAS CITY MO,"KANSAS CITY, MO"
384,MURPHYSBORO,MURPHYSBORO
385,HAZLETON,HAZLETON
386,CA,CA
387,S.FRANCISCO-CA,"SAN FRANCISCO, CA"
388,SANFRANCISCO,"SAN FRANCISCO, CA"
389,W CLEVELAND PA,"W CLEVELAND, PA"
390,NE YORK,NEW YORK
391,MILWAUKEE WI,"MILWAUKEE, WI"
