,Unnamed: 0,origin_city,origin_country,geocoder_results,origin_lon,origin_lat
21,21,ROCCAPALUMBA,ITALY,"<[OK] Google - Geocode [90020 Roccapalumba, Province of Palermo, Italy]>",13.6374546,37.80464
22,22,GIBELLINA,ITALY,"<[OK] Google - Geocode [91024 Gibellina, Province of Trapani, Italy]>",12.9550673,37.8197579
23,23,GIULIANA,ITALY,"<[OK] Google - Geocode [90030 Giuliana, Sicily, Province of Palermo, Italy]>",13.2376179,37.6704288
24,24,MILAZZO,ITALY,"<[OK] Google - Geocode [98057 Milazzo, Province of Messina, Italy]>",15.2419327,38.2207102
25,25,MARINEO,ITALY,"<[OK] Google - Geocode [90035 Marineo, Province of Palermo, Italy]>",13.4189957,37.9538844
26,26,LIPARI,ITALY,"<[OK] Google - Geocode [Lipari, 98050 Lipari, Province of Messina, Italy]>",14.9272044,38.4936623
27,27,TRAPANI,ITALY,"<[OK] Google - Geocode [91100 Trapani, Province of Trapani, Italy]>",12.5365171,38.0173505
28,28,SCIARA,ITALY,"<[OK] Google - Geocode [90020 Sciara, Sicily, Province of Palermo, Italy]>",13.7600428,37.9174718
29,29,ARAGONA,ITALY,"<[OK] Google - Geocode [92021 Aragona, AG, Italy]>",13.618945,37.407403
30,30,ALCAMO,ITALY,"<[OK] Google - Geocode [91011 Alcamo, Province of Trapani, Italy]>",12.9686255,37.9783947
31,31,PALAZZO ADRIANO,ITALY,"<[OK] Google - Geocode [90030 Palazzo Adriano, Province of Palermo, Italy]>",13.3790607,37.6815232
32,32,RIPOSTO,ITALY,"<[OK] Google - Geocode [95018 Riposto, Province of Catania, Italy]>",15.2019295,37.7083695
33,33,SCILLATO,ITALY,"<[OK] Google - Geocode [90020 Scillato, Province of Palermo, Italy]>",13.9201994,37.8695985
34,34,CATANIA,ITALY,"<[OK] Google - Geocode [Catania, Province of Catania, Italy]>",15.0830304,37.5078772
35,35,CASTELVETRANO,ITALY,"<[OK] Google - Geocode [91022 Castelvetrano, Province of Trapani, Italy]>",12.7917794,37.6785135
36,36,MISILMERI,ITALY,"<[OK] Google - Geocode [90036 Misilmeri, Province of Palermo, Italy]>",13.4481866,38.0299031
37,37,CASTELBUONO,ITALY,"<[OK] Google - Geocode [90013 Castelbuono, Province of Palermo, Italy]>",14.088775,37.9329881
38,38,SANTA NINFA,ITALY,"<[OK] Google - Geocode [91029 Santa Ninfa, Province of Trapani, Italy]>",12.8791253,37.7719947
39,39,VILLALBA,ITALY,"<[OK] Google - Geocode [93010 Villalba, Sicily, Province of Caltanissetta, Italy]>",13.8454869,37.6557673
40,40,GERACI SICULO,ITALY,"<[OK] Google - Geocode [90010 Geraci Siculo, Province of Palermo, Italy]>",14.1527033,37.8518903
41,41,LERCARA FRIDDI,ITALY,"<[OK] Google - Geocode [90025 Lercara Friddi, Province of Palermo, Italy]>",13.6015463,37.7250127
42,42,TUSA,ITALY,"<[OK] Google - Geocode [98079 Tusa, Sicily, Province of Messina, Italy]>",14.2362677,37.9834939
43,43,PARTINICO,ITALY,"<[OK] Google - Geocode [90047 Partinico, Province of Palermo, Italy]>",13.1183541,38.0466977
44,44,CALTANISSETTA,ITALY,"<[OK] Google - Geocode [93100 Caltanissetta, Province of Caltanissetta, Italy]>",14.0628928,37.4901115
45,45,MONTEVAGO,ITALY,"<[OK] Google - Geocode [92010 Montevago, AG, Italy]>",12.9851671,37.7056169
46,46,PETRALIA SOPRANA,ITALY,"<[OK] Google - Geocode [90026 Petralia Soprana, Province of Palermo, Italy]>",14.1078775,37.7964148
47,47,GANGI,ITALY,"<[OK] Google - Geocode [90024 Gangi, Sicily, Province of Palermo, Italy]>",14.2059064,37.7966504
48,48,CERDA,ITALY,"<[OK] Google - Geocode [90010 Cerda, Province of Palermo, Italy]>",13.8148569,37.9035301
49,49,ALIMENA,ITALY,"<[OK] Google - Geocode [90020 Alimena, Province of Palermo, Italy]>",14.112994,37.6901468
