,DestRaw,Dest,geocoder_results,bbox,latlong
120,BEGGIO,BEGGIO,<[ZERO_RESULTS] Google - Geocode [empty]>,,
121,READING,READING,<[OK] Google - Geocode #10 results>,"{'northeast': [40.371134, -75.890512], 'southwest': [40.296401, -75.960089]}","[40.3356483, -75.9268747]"
122,"MIDDLETON, CT","MIDDLETON, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","{'northeast': [41.6043499, -72.55094489999999], 'southwest': [41.495045, -72.7546402]}","[41.5623209, -72.6506488]"
123,OHIO,OHIO,"<[OK] Google - Geocode [Ohio, USA]>","{'northeast': [42.327132, -80.5182], 'southwest': [38.4034229, -84.8203049]}","[40.4172871, -82.90712300000001]"
124,KANSAS CITY,KANSAS CITY,"<[OK] Google - Geocode [Kansas City, MO, USA]>","{'northeast': [39.356662, -94.385522], 'southwest': [38.827176, -94.765917]}","[39.0997265, -94.5785667]"
125,NEW-JERSEY,NEW JERSEY,"<[OK] Google - Geocode [New Jersey, USA]>","{'northeast': [41.357423, -73.88506], 'southwest': [38.788657, -75.5635861]}","[40.0583238, -74.4056612]"
126,DENVER COL.,"DENVER, CO","<[OK] Google - Geocode [Denver, CO, USA]>","{'northeast': [39.91424689999999, -104.6002959], 'southwest': [39.614431, -105.109927]}","[39.7392358, -104.990251]"
127,N.ORLEANS-LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","{'northeast': [30.199332, -89.625053], 'southwest': [29.8666609, -90.14007389999999]}","[29.95106579999999, -90.0715323]"
128,"BALTIMORE, MD","BALTIMORE, MD","<[OK] Google - Geocode [Baltimore, MD, USA]>","{'northeast': [39.3722059, -76.5294528], 'southwest': [39.1972069, -76.7115407]}","[39.2903848, -76.6121893]"
129,RICHMOND,RICHMOND,"<[OK] Google - Geocode [Richmond, VA, USA]>","{'northeast': [37.6027689, -77.3855119], 'southwest': [37.446553, -77.601011]}","[37.5407246, -77.4360481]"
130,LOUISVILLE,"LOUISVILLE, KY","<[OK] Google - Geocode [Louisville, KY, USA]>","{'northeast': [38.38051, -85.40509999999999], 'southwest': [37.9971, -85.948441]}","[38.2526647, -85.7584557]"
131,ELISABETH NJ,"ELISABETH, NJ","<[OK] Google - Geocode [Elizabeth, NJ, USA]>","{'northeast': [40.690428, -74.13670309999999], 'southwest': [40.63263, -74.2542161]}","[40.6639916, -74.2107006]"
132,ELIZABETH,ELIZABETH,"<[OK] Google - Geocode [3751 W Main St, Independence, KS 67301, USA]>","{'northeast': [37.22710548029149, -95.76090841970849], 'southwest': [37.2244075197085, -95.7636063802915]}","[37.2257565, -95.7622574]"
133,DETROIT,"DETROIT, MI","<[OK] Google - Geocode [Detroit, MI, USA]>","{'northeast': [42.45023, -82.910451], 'southwest': [42.255192, -83.287959]}","[42.331427, -83.0457538]"
134,KANSAS-CITY,KANSAS CITY,"<[OK] Google - Geocode [Kansas City, MO, USA]>","{'northeast': [39.356662, -94.385522], 'southwest': [38.827176, -94.765917]}","[39.0997265, -94.5785667]"
