Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
83146,CALIFORNIA,PALERMO,01/11/1899
81750,GIAVA,PALERMO,01/07/1891
81484,AILSA,UNKNOWN,01/07/1890
903089,TARIFA,UNKNOWN,01/05/1867
80768,ELYSIA,NAPLES & PALERMO,01/04/1886
800938,MELINDA,UNKNOWN,01/04/1886
81483,SACROBOSCO,PALERMO,01/03/1890
82026,VICTORIA,"GIBRALTAR, NAPLES & PALERMO",01/02/1892
15,PLATA,PALERMO,01/02/1892
800815,GLENAVEN,UNKNOWN,01/01/1885
808253,SAINT ANNA,NAPLES & PALERMO,12/4/1912
808251,RAIS FRANZ JOSEF,"PALERMO, TRIESTE & FIUME",12/3/1912
808212,SAINT ANNA,"MARSEILLES, NAPLES & PALERMO",10/22/1912
808131,FRIEDRICH DER GROSSE,"GENOA, NAPLES & PALERMO",6/28/1912
808129,INVERNIA,"PALERMO, NAPOLI, GIBRALTAR & TRIESTE",6/26/1912
808130,SAN GIOVANNI,"PALERMO, NAPOLI, FIUME & MESSINA",6/26/1912
808128,DUCA DI AOSTA,"GENOA, NAPLES & PALERMO",6/26/1912
808126,CANADA,"MARSEILLES, NAPLES & PALERMO",6/25/1912
808127,MENDOZA,"GENOA, NAPLES & PALERMO",6/25/1912
808103,LAURA,PALERMO,5/31/1912
808097,MARTHA WASHINGTON,PALERMO,5/21/1912
808069,ATHINAI,PALERMO,4/18/1912
808058,SAXONIA,PALERMO,4/9/1912
808050,CANADA,PALERMO,3/29/1912
808033,PRINCIPE DI PIEMONTE,NAPLES & PALERMO,3/8/1912
808031,SAN GIOVANNI,PALERMO,3/4/1912
808030,FRANCONIA,UNKNOWN,3/2/1912
808028,CEDRIC,UNKNOWN,3/1/1912
808025,ITALIA,NAPLES & PALERMO,2/26/1912
808022,HAMBURG,UNKNOWN,2/17/1912
808020,CARONIA,UNKNOWN,2/16/1912
808019,CALABRIA,NAPLES & PALERMO,2/13/1912
808014,SAN GUGLIELMO,UNKNOWN,2/8/1912
808013,LA LORRAINE,UNKNOWN,1/28/1912
808009,ARGENTINA,UNKNOWN,1/19/1912
808000,SAN GIOVANNI,PALERMO,1/2/1912
880386,KONIGIN LUISE,"GENOA, NAPLES & PALERMO",12/5/1904
880385,NAPOLITAN PRINCE,PALERMO,12/5/1904
880378,SICILIAN PRINCE,NAPLES & PALERMO,11/23/1904
880370,GERTY,NAPLES & PALERMO,11/9/1904
880360,LOMBARDIA,PALERMO,10/7/1904
880352,ALGERIA,UNKNOWN,9/10/1904
880350,NAPOLITAN PRINCE,PALERMO,9/10/1904
880343,SICILIAN PRINCE,PALERMO,8/23/1904
880332,ALGERIA,PALERMO,7/15/1904
880320,PRINZ ADALBERT,NAPLES & PALERMO,6/22/1904
880316,NAPOLITAN PRINCE,PALERMO,6/14/1904
880297,VINCENZO FLORIO,GENOA & PALERMO,5/5/1904
880295,CARPATHIA,"FIUME, NAPLES & PALERMO",5/4/1904
880286,NAPOLITAN PRINCE,NAPLES & PALERMO,4/25/1904
880277,UMBRIA,"GENOA, NAPLES & PALERMO",4/24/1904
880276,SICILIAN PRINCE,NAPLES & PALERMO,4/14/1904
880274,MARCO MINGHETTI,"GENOA, NAPLES & PALERMO",4/13/1904
880275,VICTORIA,NAPLES & PALERMO,4/13/1904
880272,PRINZ OSCAR,"GENOA, NAPLES & PALERMO",4/11/1904
880263,PALATIA,"GENOA, NAPLES & PALERMO",3/31/1904
880258,CALIFORNIA,NAPLES & PALERMO,3/26/1904
100006,AURANIA,"FIUME, NAPLES & PALERMO",3/7/1904
880243,SICILIAN PRINCE,"GENOA, NAPLES & PALERMO",2/26/1904
880228,VICTORIA,NAPLES & PALERMO,2/13/1904
880217,NORD AMERICA,"GENOA, NAPLES & PALERMO",1/28/1904
100001,AURANIA,"FIUME, NAPLES & PALERMO",1/19/1904
83965,TROJAN PRINCE,PALERMO,8/12/1902
83896,BALILLA,PALERMO,5/23/1902
83878,WASHINGTON,PALERMO,5/6/1902
83800,TROJAN PRINCE,PALERMO,1/27/1902
83641,BALILIA,PALERMO,5/8/1901
83620,CITTA DI TORINO,GENOA & PALERMO,4/13/1901
83581,TARTAR PRINCE,GENOA & PALERMO,2/11/1901
83505,VINCENZO FLORIO,"GENOA, NAPLES & PALERMO",8/27/1900
83476,ARCHIMEDE,NAPLES & PALERMO,6/26/1900
83449,MARCO MINGHETTI,PALERMO,5/15/1900
83387,COLUMBIA,UNKNOWN,2/12/1900
