Commune,Province,Population
Scaletta Zanclea,Messina,"2,249"
Sciacca,Agrigento,"40,899"
Sciara,Palermo,"2,787"
Scicli,Ragusa,"25,922"
Scillato,Palermo,627
Sclafani Bagni,Palermo,450
Scordia,Catania,"17,185"
Serradifalco,Caltanissetta,"6,265"
Siculiana,Agrigento,"4,632"
Sinagra,Messina,"2,760"
Siracusa,Siracusa,"118,385"
Solarino,Siracusa,"7,853"
Sommatino,Caltanissetta,"7,267"
Sortino,Siracusa,"8,907"
Spadafora,Messina,"5,091"
Sperlinga,Enna,833
Sutera,Caltanissetta,"1,436"
Taormina,Messina,"11,084"
Terme Vigliatore,Messina,"7,213"
Termini Imerese,Palermo,"27,217"
Terrasini,Palermo,"11,985"
Torregrotta,Messina,"7,426"
Torrenova,Messina,"4,240"
Torretta,Palermo,"4,141"
Tortorici,Messina,"6,732"
Trabia,Palermo,"9,344"
Trapani,Trapani,"69,241"
Trappeto,Palermo,"3,211"
Trecastagni,Catania,"10,482"
Tremestieri Etneo,Catania,"21,032"
Tripi,Messina,933
Troina,Enna,"9,628"
Tusa,Messina,"3,051"
Ucria,Messina,"1,105"
Ustica,Palermo,"1,287"
Valderice,Trapani,"11,951"
Valdina,Messina,"1,352"
Valguarnera Caropepe,Enna,"8,182"
Valledolmo,Palermo,"3,747"
Vallelunga Pratameno,Caltanissetta,"3,641"
Valverde,Catania,"7,714"
Venetico,Messina,"3,855"
Ventimiglia di Sicilia,Palermo,"2,080"
Viagrande,Catania,"8,155"
Vicari,Palermo,"2,948"
Villabate,Palermo,"19,819"
Villafranca Sicula,Agrigento,"1,426"
Villafranca Tirrena,Messina,"8,748"
Villafrati,Palermo,"3,377"
Villalba,Caltanissetta,"1,731"
Villarosa,Enna,"5,130"
Vita,Trapani,"2,139"
Vittoria,Ragusa,"61,006"
Vizzini,Catania,"6,409"
Zafferana Etnea,Catania,"9,249"
